1012475 1950  4 30  14.4   5.4   1.0
1012475 1950  5  1  12.7   6.3   1.9
1012475 1950  5  2  11.9   4.8   1.4
1012475 1950  5  3  12.4   4.4   0.9
1012475 1950  5  4  10.8   5.5   1.1
1012475 1950  5  5  11.5   4.4   1.9
1012475 1950  5  6  13.2   2.9   0.0
1012475 1950  5  7  15.3   2.9   0.0
1012475 1950  5  8  14.5   4.0   0.0
1012475 1950  5  9  12.6   6.4   0.2
1012475 1950  5 10  17.8   8.1   0.0
1012475 1950  5 11  20.8   8.1   0.0
1012475 1950  5 12  17.9   9.4   0.0
1012475 1950  5 13  17.3   6.7   0.0
1012475 1950  5 14  16.1   6.0   0.0
1012475 1950  5 15  14.1   5.7   0.0
1012475 1950  5 16  13.5   5.2   2.1
1012475 1950  5 17  11.0   5.0   3.3
1012475 1950  5 18  12.5   3.7   2.1
1012475 1950  5 19  12.9   6.0   2.0
1012475 1950  5 20  13.1   6.7   2.9
1012475 1950  5 21  17.4   8.1   0.0
1012475 1950  5 22  14.6   5.8   0.0
1012475 1950  5 23  15.6   3.2   0.0
1012475 1950  5 24  20.1   4.8   0.0
1012475 1950  5 25  19.8   6.3   0.0
1012475 1950  5 26  16.3  10.1   0.0
1012475 1950  5 27  16.5   8.0   0.0
1012475 1950  5 28  13.8   5.9   4.3
1012475 1950  5 29  15.5   7.1   0.0
1012475 1950  5 30  16.6   4.9   0.0
1012475 1950  5 31  19.2   6.0   0.0
1012475 1950  6  1  19.9   8.4   0.0
1012475 1950  6  2  24.4   8.6   0.0
1012475 1950  6  3  23.6   8.9   0.0
1012475 1950  6  4  20.6  11.6   0.0
1012475 1950  6  5  15.9   6.8   0.0
1012475 1950  6  6  16.7   5.8   0.0
1012475 1950  6  7  15.5   8.7   0.0
1012475 1950  6  8  16.3   9.4   0.0
1012475 1950  6  9  20.3   7.9   0.0
1012475 1950  6 10  23.9   8.9   0.0
1012475 1950  6 11  22.7  10.3   0.0
1012475 1950  6 12  18.0  10.7   0.0
1012475 1950  6 13  16.3  10.4   0.0
1012475 1950  6 14  15.5  10.5   0.0
1012475 1950  6 15  20.7  10.0   0.0
1012475 1950  6 16  26.2  11.1   0.0
1012475 1950  6 17  21.3  11.5   0.0
1012475 1950  6 18  19.6  10.3   0.0
1012475 1950  6 19  21.2  10.1   0.0
1012475 1950  6 20  20.4  12.9   0.0
1012475 1950  6 21  17.9  11.2   3.8
1012475 1950  6 22  17.3   9.3   0.8
1012475 1950  6 23  16.4   9.4   3.6
1012475 1950  6 24  16.5   8.0   0.0
1012475 1950  6 25  18.3  10.2   0.0
1012475 1950  6 26  22.2  10.1   0.0
1012475 1950  6 27  19.6  11.9   0.4
1012475 1950  6 28  24.8  12.9   0.0
1012475 1950  6 29  24.7  14.3   0.0
1012475 1950  6 30  22.5  12.5   0.0
1012475 1950  7  1  20.5  10.1   0.0
1012475 1950  7  2  21.2   9.6   0.0
1012475 1950  7  3  21.4  10.2   0.0
1012475 1950  7  4  22.9  11.1   0.0
1012475 1950  7  5  23.6  11.1   0.0
1012475 1950  7  6  20.6  12.2   0.0
1012475 1950  7  7  19.2  10.1   0.0
1012475 1950  7  8  16.9   9.9   7.2
1012475 1950  7  9  18.5  10.7   4.1
1012475 1950  7 10  19.6  11.5   1.2
1012475 1950  7 11  20.0  10.6   0.0
1012475 1950  7 12  24.5  10.5   0.0
1012475 1950  7 13  21.3  11.8   0.0
1012475 1950  7 14  21.6  11.9   0.0
1012475 1950  7 15  20.7  11.2   0.0
1012475 1950  7 16  22.1  10.4   0.0
1012475 1950  7 17  24.0  10.9   0.0
1012475 1950  7 18  23.3  11.5   1.1
1012475 1950  7 19  23.1  14.1   0.0
1012475 1950  7 20  22.4  10.4   0.0
1012475 1950  7 21  26.0  12.7   0.0
1012475 1950  7 22  23.8  13.1   0.0
1012475 1950  7 23  24.4  12.0   0.0
1012475 1950  7 24  26.2  12.7   0.0
1012475 1950  7 25  24.4  13.3   0.0
